Id,Label,namespace,SparqlID,PageRank
124,Biswapati Sarkar,http://dbpedia.org/resource,http://dbpedia.org/resource/Biswapati_Sarkar,9.358576197864521E-4
125,Hershel Greene,http://dbpedia.org/resource,http://dbpedia.org/resource/Hershel_Greene,5.058558908724849E-4
126,Rachel Berry,http://dbpedia.org/resource,http://dbpedia.org/resource/Rachel_Berry,5.058558908724849E-4
127,Jessica Campbell Jones Cage,http://dbpedia.org/resource,http://dbpedia.org/resource/Jessica_Jones,5.058558908724849E-4
128,"Gaydos, Michael",http://dbpedia.org/resource,http://dbpedia.org/resource/Michael_Gaydos,9.358576197864521E-4
129,"Joseph ""Robbie"" Robertson",http://dbpedia.org/resource,http://dbpedia.org/resource/Robbie_Robertson_(comics),5.058558908724849E-4
130,Montego Bay,http://dbpedia.org/resource,http://dbpedia.org/resource/Montego_Bay,9.036197598826059E-4
131,Jamaican American,http://dbpedia.org/resource,http://dbpedia.org/resource/Jamaican_American,0.0016717454790024146
132,Micah,http://dbpedia.org/resource,http://dbpedia.org/resource/Kazann,5.058558908724849E-4
133,Garth Ennis,http://dbpedia.org/resource,http://dbpedia.org/resource/Garth_Ennis,0.0013658593487004193
134,"Crain, Clayton",http://dbpedia.org/resource,http://dbpedia.org/resource/Clayton_Crain,7.208567553294684E-4
135,James Bigglesworth,http://dbpedia.org/resource,http://dbpedia.org/resource/Biggles,5.058558908724849E-4
136,W. E. Johns,http://dbpedia.org/resource,http://dbpedia.org/resource/W._E._Johns,9.358576197864521E-4
137,Science-fiction,http://dbpedia.org/resource,http://dbpedia.org/resource/Science_fiction,0.0017031610544175455
138,Novela bélica,http://dbpedia.org/resource,http://dbpedia.org/resource/War_novel,6.195027105896623E-4
139,Hertford,http://dbpedia.org/resource,http://dbpedia.org/resource/Hertford,6.195027105896623E-4
140,Hertfordshire,http://dbpedia.org/resource,http://dbpedia.org/resource/Hertfordshire,6.195027105896623E-4
141,Bengeo,http://dbpedia.org/resource,http://dbpedia.org/resource/Bengeo,6.195027105896623E-4
142,John Sheppard,http://dbpedia.org/resource,http://dbpedia.org/resource/John_Sheppard_(Stargate),5.058558908724849E-4
143,Robert C. Cooper,http://dbpedia.org/resource,http://dbpedia.org/resource/Robert_C._Cooper,0.0024408636709853373
144,Lucas Cruikshank,http://dbpedia.org/resource,http://dbpedia.org/resource/Lucas_Cruikshank,9.358576197864521E-4
145,"Columbus, Nebraska",http://dbpedia.org/resource,"http://dbpedia.org/resource/Columbus,_Nebraska",9.036197598826059E-4
146,Greer Grant Nelson,http://dbpedia.org/resource,http://dbpedia.org/resource/Tigra,5.058558908724849E-4
147,"Perlin, Don",http://dbpedia.org/resource,http://dbpedia.org/resource/Don_Perlin,0.0011508584842434355
148,Artie Abrams,http://dbpedia.org/resource,http://dbpedia.org/resource/Artie_Abrams,5.058558908724849E-4
149,"Lopez, David",http://dbpedia.org/resource,http://dbpedia.org/resource/David_López_(artist),9.358576197864521E-4
150,Spain,http://dbpedia.org/resource,http://dbpedia.org/resource/Spain,0.03531572598852363
151,Las Palmas de Gran Canaria,http://dbpedia.org/resource,http://dbpedia.org/resource/Las_Palmas,9.036197598826059E-4
152,Fujiko Mine,http://dbpedia.org/resource,http://dbpedia.org/resource/Fujiko_Mine,5.058558908724849E-4
153,Brita An'nan,http://dbpedia.org/resource,http://dbpedia.org/resource/Kono_(comics),5.058558908724849E-4
154,Kurt Hummel,http://dbpedia.org/resource,http://dbpedia.org/resource/Kurt_Hummel,5.058558908724849E-4
155,Morgan Jones,http://dbpedia.org/resource,http://dbpedia.org/resource/Morgan_Jones_(The_Walking_Dead),5.058558908724849E-4
156,Americans,http://dbpedia.org/resource,http://dbpedia.org/resource/Americans,0.09878377142589499
157,Россійская Имперія,http://dbpedia.org/resource,http://dbpedia.org/resource/Russian_Empire,0.0013659002479160904
158,Suomalaiset,http://dbpedia.org/resource,http://dbpedia.org/resource/Finns,0.0022324131126018085
159,Союз Советских Социалистических РеспубликSoyuz Sovetskikh Sotsialisticheskikh Respublik,http://dbpedia.org/resource,http://dbpedia.org/resource/Soviet_Union,0.0023915351279040157
160,Muzzafar Lambert,http://dbpedia.org/resource,http://dbpedia.org/resource/Saracen_(comics),5.058558908724849E-4
161,Mike Baron,http://dbpedia.org/resource,http://dbpedia.org/resource/Mike_Baron,0.0017958610776143864
162,Småland,http://dbpedia.org/resource,http://dbpedia.org/resource/Småland,6.649614384765332E-4
