,,Year,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
8,13,Ciudad Real,28,28,27.6,26.9,25.6,23.7805277287,23.7463223276,23.1185247931,26.2529213191,28.2982297454,27.7357280308,26.6836086404,25.6719417232,24.934871604,23.5250962891,22.4864864865,23.5488633009,22.1576377587,21.4746543779
8,16,Cuenca,37.3,37.1,33.1,31.8,31,27.2414309235,21.5827338129,21.7058911707,23.688155922,25.7716511837,26.9213550216,25.714708932,24.1961532815,24.2547033285,24.5854774157,27.8806729818,28.9935879565,25.5225522552,24.192665572
8,19,Guadalajara,23.9,23,23.1,22,18.5,16.634127294,15.2613506295,15.2409413523,15.3592978607,15.9542121266,13.0677847659,10.7034668462,5.0812027657,5.721316518,7.976366322,6.880864373,6.7962484708,8.4024896266,9.9899598394
8,45,Toledo,31.2,32.3,29.5,29.9,30.5,28.8476740651,27.4549697804,26.1414714928,27.6297335203,27.7819440438,25.2600466094,24.1790047868,24.7121777201,23.5751840168,21.2152209493,17.7826454921,17.5130334041,18.498509687,18.5124568103
9,,Cataluña,21.9,19.4860076475,17.5329581879,16.6365007458,16.1894408172,16.2407080343,15.3975448261,14.1811836613,14.6758984756,14.3345969814,12.4655969744,10.5531365909,9.2451953233,9.418630355,11.6720294832,10.5343615178,9.5528844154,10.0004936078,10.3448275862
9,8,Barcelona,24.9,21.9,19.3,18.2,17.6,17.533816596,16.5755827254,14.7709405487,15.2956378828,14.8325924084,12.2167123541,10.0583755882,8.9530616765,9.1528483197,11.4396453687,9.9897201599,8.5074794736,9.4424540976,9.9500472526
9,17,Girona,10.7,10,9.8,10.6,10.2,10.159466512,10.6630211893,12.030075188,13.2640654361,13.0574113302,9.5004792843,10.4172038575,9.7943776696,9.4057044739,11.4490819567,12.2432613054,12.0811703634,10.8963678774,10.1370315338
9,25,Lleida,10.1,9.2,9.3,8.1,9.3,9.9416687801,9.6126375935,10.0351229303,8.1870371911,9.4152626363,14.032218497,12.7142512272,8.2952215739,8.9140756624,13.0990654206,12.9116875546,14.7495559503,13.4228187919,11.1480865225
9,43,Tarragona,14.7,14.1,14.8,14.4,14.3,15.0838585621,13.6416184971,13.8973748252,14.9176062446,14.4841767391,16.2545562014,13.2785632404,11.5352773434,11.7111945242,12.7723067741,11.5408428613,11.6863553477,11.117907937,12.7368421053
10,,Comunitat Valenciana,23.0226070826,22.0756413466,20.566730027,20.5363199961,19.7731404499,18.4038439002,17.8366745601,16.8864871466,16.5045691168,17.187291713,16.3004950746,16.4788503522,13.8280766852,13.7221590529,12.7982914776,11.0469469863,11.0558660943,11.4808290906,11.0888156323
