,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
12,,Galicia,8.24,8.78,9.19,9.67,10.68,11.84,12.20,12.42,13.53,14.17,15.36,16.01,17.33,18.11,20.55,21.24,21.70,22.10,22.11
12,15,A Coruña,9.10,9.40,9.50,10.00,11.10,13.08,13.91,13.45,14.94,14.90,15.91,17.82,20.79,20.95,23.39,24.55,26.65,26.10,26.13
12,27,Lugo,7.50,7.90,8.80,10.10,11.50,10.18,9.28,9.93,11.00,12.14,12.97,10.53,10.49,12.99,14.53,16.57,14.97,17.56,18.50
12,32,Ourense,6.80,7.10,8.10,7.40,9.00,11.45,10.32,10.78,11.17,12.10,14.13,14.89,13.29,14.19,18.12,15.93,15.91,15.92,15.51
12,36,Pontevedra,8.20,9.20,9.50,10.10,10.50,11.15,12.08,12.85,13.76,14.91,16.13,16.42,17.35,18.14,20.36,20.97,20.37,21.22,20.98
13,,Madrid (Comunidad de),15.10,16.20,16.70,18.40,19.90,20.41,21.76,23.15,24.21,25.84,27.32,27.52,26.79,28.10,29.41,29.32,31.06,31.53,31.13
14,,Murcia (Región de),8.20,8.80,8.80,9.00,9.70,13.60,13.88,14.48,15.22,16.26,17.43,17.36,17.14,17.80,18.14,18.55,18.82,19.58,19.01
15,,Navarra (Comunidad Foral),15.20,16.10,16.20,17.80,19.10,19.25,19.69,21.66,23.42,24.34,26.26,26.97,26.47,26.43,28.67,28.70,30.10,28.84,29.00
16,,País Vasco,16.58,16.30,17.68,19.02,19.30,20.93,22.00,22.84,24.06,26.18,26.84,27.23,28.34,29.40,32.58,33.20,33.86,33.74,34.60
16,1,Álava,17.60,17.20,18.60,19.90,20.40,23.36,23.72,25.07,28.08,28.47,27.36,28.76,31.63,33.71,30.22,34.37,35.06,33.36,32.84
16,20,Guipúzcoa,15.30,15.70,17.10,18.20,19.20,19.74,20.53,21.73,22.20,24.91,26.78,26.44,27.82,29.27,33.58,33.72,36.11,36.82,37.91
16,48,Vizcaya,17.10,16.30,17.80,19.30,19.20,21.04,22.44,22.96,24.15,26.36,26.75,27.30,27.81,28.36,32.60,32.58,32.19,32.00,33.09
17,,Rioja (La),12.60,12.90,13.70,14.10,15.00,13.27,15.86,15.97,15.53,17.47,18.36,19.96,19.97,22.11,23.08,22.01,23.72,23.84,27.07
18,51,Ceuta,...,...,...,...,...,...,...,...,...,...,...,...,...,...,17.07,13.95,12.27,16.23,18.15
19,52,Melilla,...,...,...,...,...,...,...,...,...,...,...,...,...,...,20.37,19.35,16.70,16.98,19.89
