,,Years,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
12,,Galicia,24.38,13.7,14.49,10.58,8.32,15.48,15.53,24.52,22.37,17.8,22.52,22.47,22.57,19.12,15.06,14.67,14.22,16.54,13.85
12,15,A Coruna,38.99,12.84,15.2,13.56,12.48,24.64,19.03,20.25,22.2,14.92,14.61,18.5,19.62,15.21,16.15,17.98,19.07,16.85,15.49
12,27,Lugo,7.55,4.46,5.8,2.13,3.48,7.29,14.98,21.97,15.78,12.23,6.98,8.71,10.45,19.3,15.98,17.49,17.27,16.73,12.75
12,32,Ourense,17.55,6.83,8,10.05,8.67,12.2,24.23,19.94,11.77,9.72,9.44,9.78,9.22,9.55,14.72,6.65,10.92,10.67,10.75
12,36,Pontevedra,16.38,21.38,19.8,10.68,5.12,8.92,8.15,32.49,29.36,26.69,43.19,37.4,35.75,27.37,13.54,12.49,8.45,18.16,13.14
13,,Madrid (Comunidad de),33.87,37.13,30.8,24.56,26.01,29.08,25.27,23.79,19.95,12.58,11.66,18.64,27.41,21.76,22.09,21.43,18.88,18,17.62
14,,Murcia (Region de),9.99,22.22,12.86,24.35,18.83,17.4,21.71,35.33,17.97,8.8,13.09,18.84,30.65,30.08,39.46,35.01,23.7,26.49,25.2
15,,Navarra (Comunidad Foral),13.06,21.77,12.54,8.5,15.21,13.64,11.9,7.95,6.98,6.01,7.77,10.53,21.45,20.8,21.73,21.46,20.48,17.86,18.32
16,,Pais Vasco,26.15,21.58,20.77,13.65,14.79,15.45,17.46,13.67,13.96,10.37,9.09,16.45,26.15,26.11,28.6,28.61,28.82,31.89,30.21
16,1,Alava,42.85,23.37,22.2,6.53,5.79,7.22,6.83,5.01,7.12,5.3,5.96,14.59,23.75,28.57,27.58,20.95,22.68,33.2,26.28
16,20,Guipuzcoa,3.7,13.19,7.28,7.3,5.53,4.04,3.89,5.39,4.49,5.22,2.38,10.37,20.08,20.32,19.35,21.02,22.05,22.54,18.8
16,48,Vizcaya,35.36,26.09,28.36,19.1,22.44,24.21,28.11,20.73,21.32,14.73,13.91,20.49,30.44,28.96,34.46,35.24,34.57,37.22,38.23
17,,Rioja (La),23.14,25.04,22.41,15.2,5.7,5.69,6.06,5.29,5.25,- ,0.73,1.43,9.47,8.58,14.45,16.16,13.58,16.25,11.06
18,51,Ceuta,113.48,32.17,49.33,15.85,15.76,98.34,31.21,- ,21.12,8.42,22.37,9.79,6.51,19.61,40.63,27.96,15.32,13.82,22.04
19,52,Melilla,22.77,- ,25.35,- ,- ,4.84,9.54,- ,23.21,- ,3.02,6.01,19.6,40.29,11.98,40.29,21.93,44.7,48.26
